Food_items,calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,water,sugars,VegNovVeg,Breakfast,Lunch,Dinner,Vegan
"Snacks, mixed flavors, chewy, KASHI GOLEAN, granola bar",390,7.7,321,7,103,1.62,429,16.67,63.42,7.7,9.23,42.31,0,0,0,1,1
"Snacks, all flavors, QUAKER OATMEAL TO GO, granola bars",389,6.7,367,4,333,6,238,6.67,75.47,4.6,9.86,31.54,0,1,0,1,1
"KEEBLER, Reduced Fat, Pecan Shortbread Cookies, SANDIES",488,22,401,0,0,2.8,74,6.7,67.1,2.1,3.9,23.9,0,0,0,1,1
"Cereals ready-to-eat, Toasted Multigrain Crisps, QUAKER",372,5.1,365,0,242,29.9,438,12.38,74.9,10.2,4,16.34,0,1,0,1,1
"Cereals ready-to-eat, cinnamon, Oatmeal Squares, QUAKER",379,4.9,344,0,210,29.5,359,11.23,78.09,8.7,2.75,16.67,0,1,0,1,1
"Cookies, without raisins, prepared from recipe, oatmeal",447,18,598,0,105,2.7,182,6.8,66.4,0,6.2,0,0,1,0,1,1
"Beans, low sodium, canned, mature seeds, great northern",114,0.4,177,0,53,1.57,351,7.37,21.02,4.9,69.89,1.41,0,1,1,0,1
"MORNINGSTAR FARMS Grillers Original, unprepared, frozen",213,9.3,422,0,61,4.2,182,23.9,8.5,4.4,55.6,1.2,0,0,1,1,1
"Babyfood, toddler, and vegetables, rice, turkey, dinner",60,1.6,183,2,11,0.4,107,3.8,7.5,0.8,86.3,1.12,1,1,1,0,0
"Salad dressing, reduced calorie, honey mustard dressing",207,10,701,0,67,0.41,55,0.98,28.26,0.8,57.19,18.33,0,0,1,1,1
"Pasta with Sliced Franks in Tomato Sauce, canned entree",90,2.4,287,16,60,0.91,191,4.37,12.7,1.6,78.2,3.17,0,1,1,0,1
"Cereals, dry, Raisin and Spice, Instant Oatmeal, QUAKER",360,4,440,0,235,9.1,360,9.11,75.68,5.8,8.45,35.65,0,1,0,1,1
"AUSTIN, sandwich-type, Cheddar Cheese on Wheat Crackers",495,25,839,0,151,3,310,7.9,61.4,1.8,2.7,14.6,0,0,1,1,1
"AUSTIN, sandwich-type, Grilled Cheese on Wafer Crackers",493,24,910,0,129,3.2,272,7.9,62,1.3,2.7,12.6,0,0,1,1,1
"Chicken, meat only, drumstick, BBQ, rotisserie, broiler",172,6.8,403,0,20,1.05,291,27.71,0,0,64.11,0,1,0,1,1,0
"Hyacinth beans, with salt, boiled, cooked, mature seeds",117,0.6,243,0,40,4.58,337,8.14,20.7,0,69.13,0,0,1,1,0,1
"SUNSHINE, Reduced Fat Crackers, White Cheddar, CHEEZ-IT",443,14,789,0,0,4.7,121,9.7,72,2.5,2.2,1.2,0,0,0,1,1
"Babyfood, finger snacks cereal fortified, baked product",421,9.9,214,0,400,22.5,114,6.4,76.68,2.3,3.7,28,0,1,0,1,1
"Chicken, breast meat and skin, BBQ, rotisserie, broiler",175,7.7,329,0,16,0.51,276,26.37,0.09,0,65.19,0.09,1,0,1,1,0
"Pork, unheated, extra lean, boneless, steak, ham, cured",122,4.3,1269,0,4,1,325,19.56,0,0,72.24,0,1,1,1,0,0
"CAMPBELL'S Red and White, condensed, Chicken Gumbo Soup",48,0.8,690,0,16,0,0,1.59,7.94,0.8,86.4,1.59,1,1,1,0,0
"Toaster Pastries, S'mores, KELLOGG'S POP TARTS, KELLOGG",392,11,410,0,29,3.5,125,6.2,69.6,1.4,12.5,36.5,0,1,0,1,1
"Pork, raw, tongue, variety meats and by-products, fresh",225,17,110,0,16,3.35,243,16.3,0,0,65.9,0,1,0,1,1,0
"Fast foods, soft, lettuce and cheese, taco with chicken",189,6.4,613,3,122,1.59,217,13.3,19.69,1.2,58.42,1.3,1,0,1,1,0
"Restaurant, cheese ravioli with marinara sauce, Italian",154,5.7,306,0,120,0.82,195,7.07,18.5,1.2,67.29,4.5,0,0,1,1,1
"Beef, boiled, cooked, sweetbread, imported, New Zealand",318,30,52,22,4,1.12,258,12.53,0,0,56.26,0,1,0,0,1,0
"Drumstick leaves, without salt, drained, boiled, cooked",60,0.9,9,0,151,2.32,344,5.27,11.15,2,81.65,1,0,1,0,0,1
"Cake, prepared from recipe with coconut frosting, white",356,10,284,8,90,1.16,99,4.4,63.2,1,20.7,57.39,0,1,0,1,1
"SUBWAY, tuna sub on white bread with lettuce and tomato",221,12,329,0,136,1.57,177,12.33,15.95,0.7,58.17,1.93,0,0,1,1,1
"Snacks, chocolate chip, KUDOS Whole Grain Bar, M&M MARS",420,13,246,0,1084,1.4,279,4.47,72.31,2.6,4.9,38.78,0,0,0,1,1
"Cereals, with salt, cooked with water, enriched, farina",53,0.3,126,0,97,5.33,23,1.82,10.92,0.8,86.55,0.76,0,1,0,0,1
"Cowpeas (blackeyes), unprepared, frozen, immature seeds",139,0.7,6,0,26,2.35,441,8.98,25.13,5,64.15,0,0,1,1,0,1
"AUSTIN, sandwich-type, Peanut Butter on Cheese Crackers",492,25,843,0,50,3.5,68,10.8,59,3.2,2,9,0,1,1,1,1
"Dandelion greens, without salt, drained, boiled, cooked",33,0.6,44,0,140,1.8,232,2,6.4,2.9,89.8,0.5,0,1,0,0,1
"Veal, raw, separable lean and fat, blade chop, shoulder",148,7.6,91,60,23,1.22,198,18.72,0.03,0,72.6,0,0,1,1,0,1
"CAMPBELL'S CHUNKY Soups, HEALTHY REQUEST Vegetable Soup",49,0.4,167,0,24,0.44,0,1.63,9.8,1.6,87.7,3.27,0,1,1,0,1
"Mushrooms, without salt, drained, boiled, cooked, white",28,0.5,2,8,6,1.74,356,2.17,5.29,2.2,91.08,2.34,0,1,0,0,1
"Sweet rolls, refrigerated dough with frosting, cinnamon",333,12,765,0,31,2.44,58,5,51.6,0,28.9,0,0,0,0,1,1
"Pie crust, unbaked, prepared from recipe, standard-type",469,31,482,0,9,2.57,59,5.7,42.3,3.4,19.7,0.15,0,0,0,1,1
"Nutritional supplement for people with diabetes, liquid",88,3.1,92,44,110,1.98,176,4.4,11.88,2.2,79.74,2.64,0,1,0,0,1
"Bread, salvadoran sweet cheese (quesadilla salvadorena)",374,17,510,14,73,0.98,350,7.12,47.84,0.7,25.48,24.9,0,0,1,1,1
"Chicken, raw, meat only, light meat, broilers or fryers",114,1.7,68,0,12,0.73,239,23.2,0,0,74.86,0,1,1,1,0,0
"DOMINO'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust",273,11,611,0,141,2.33,183,11.25,31.86,2.1,43.4,3.69,0,0,1,1,1
"AUSTIN, sandwich-type, Cheddar Cheese on Wafer Crackers",489,23,978,0,156,3.2,301,7.8,62.6,1.3,2.7,14.3,0,0,1,1,1
"AUSTIN, sandwich-type, Peanut Butter on Toasty Crackers",489,24,772,0,54,3.3,66,10.6,60.2,3.2,2.7,11.6,0,1,1,1,1
"CAMPBELL'S, condensed, Cream of Chicken with Herbs Soup",65,3.2,645,0,0,0,0,1.61,7.26,0,84.3,0.81,1,1,1,0,0
"Chicken, stewed, cooked, skin only, broilers or fryers",363,33,56,7,12,1.13,117,15.22,0,0,53.27,0,1,0,1,1,0
"Corn, regular pack, cream style, canned, yellow, sweet",72,0.4,261,0,3,0.38,134,1.74,18.13,1.2,78.73,3.23,0,1,0,0,1
"Corn, regular pack, vacuum pack, canned, yellow, sweet",79,0.5,272,0,5,0.42,186,2.41,19.44,2,76.58,5.59,0,1,0,0,1
"Turkey, roasted, cooked, meat only, wing, retail parts",170,5.5,103,28,12,0.82,207,30.17,0,0,64.04,0,1,0,1,1,0
"Fast foods, regular patty; plain, cheeseburger; double",308,17,621,0,180,2.37,216,17.16,20.8,0.7,42.17,4.02,0,0,1,1,1
"Imitation cheese, low cholesterol, american or cheddar",390,32,670,0,705,0.7,55,25,1,0,38,1,0,0,0,1,1
"Fish, kippered (Alaska Native), (sockeye), red, salmon",141,4.8,460,80,54,0.49,400,24.5,0,0,69.41,0,1,1,1,0,0
"Pork, raw, separable lean only, whole, shoulder, fresh",148,7.1,76,0,14,1.22,341,19.55,0,0,72.63,0,1,1,1,0,0
"KEEBLER, Toasted Pecan, Nut Crisp Crackers, WHEATABLES",483,22,654,0,0,4.6,145,7.6,65.7,3.8,1.7,11.6,0,1,0,1,1
"Ice creams, Chocolate Caramel, No Sugar Added, BREYERS",151,5.8,77,0,121,0.59,0,3.54,25.17,1,64.71,5.81,0,0,1,1,1
"Mung beans, without salt, boiled, cooked, mature seeds",105,0.4,2,0,27,1.4,266,7.02,19.15,7.6,72.66,2,0,1,1,0,1
"Beans, solids and liquids, canned, mature seeds, pinto",82,0.6,268,0,47,1.47,276,4.6,15.18,4.6,78.19,1.02,0,1,0,0,1
"USDA Commodity, raw, frozen, fine/coarse, ground, pork",221,17,58,0,14,0.91,297,15.41,0,0,64.46,0,1,0,1,1,0
"Cornmeal, enriched, plain, bolted, self-rising, yellow",334,3.4,1247,0,361,5.76,255,8.28,70.28,6.7,12.59,0,0,0,0,1,1
"Beverages, French Vanilla Cafe, instant, coffee, KRAFT",481,19,399,0,12,0.33,546,2.5,74.6,1.4,1.5,54.3,0,1,0,1,1
"Chicken, raw, meat and skin, thigh, broilers or fryers",221,17,81,3,7,0.68,204,16.52,0.25,0,66.47,0,1,0,1,1,0
"Corn, no salt added, vacuum pack, canned, white, sweet",79,0.5,3,0,5,0.42,186,2.41,19.44,2,76.58,0,0,1,0,0,1
"Corn, no salt added, cream style, canned, white, sweet",72,0.4,3,0,3,0.38,134,1.74,18.13,1.2,78.73,2.21,0,1,0,0,1
"Corn, with salt, drained, boiled, cooked, white, sweet",97,1.4,253,0,2,0.55,252,3.34,21.71,2.7,72.84,7.73,0,1,0,0,1
"Cereals ready-to-eat, KELLOGG'S KRAVE chocolate cereal",397,11,320,133,61,14.5,222,7,76.1,9.9,3.5,35.7,0,1,0,1,1
"DENNY'S, from kid's menu, star shaped, chicken nuggets",377,29,644,0,16,1.34,244,16.27,13.59,0.8,39.25,0,1,0,1,1,0
"Cereals ready-to-eat, TOTAL Raisin Bran, GENERAL MILLS",312,1.6,339,189,1887,34,504,5.6,76.8,9.1,8.36,32.3,0,1,0,1,1
"Pasta, TINKYADA, cooked, brown rice flour, gluten-free",138,1.7,4,0,5,0.53,25,3.46,32.2,1.7,62.3,0,0,1,1,0,1
"Veal, grilled, cooked, separable lean only, chop, loin",159,4.4,85,32,13,0.79,239,29.75,0.07,0,64.65,0,0,0,1,1,1
"Rolls, calcium-fortified, whole grain white, hamburger",255,3.5,512,0,233,2.59,190,9.3,46.5,2.3,38.67,9.3,1,0,1,1,0
"Chicken, thigh meat and skin, BBQ, rotisserie, broiler",226,15,335,0,16,0.95,255,22.51,0.12,0,61.41,0.12,1,0,1,1,0
"Pork, unheated, separable lean only, whole, ham, cured",147,5.7,1516,27,7,0.81,371,22.32,0.05,0,68.26,0,1,1,1,0,0
"Pork, raw, brain, variety meats and by-products, fresh",127,9.2,120,0,10,1.6,258,10.28,0,0,78.36,0,1,1,1,0,0
"Babyfood, dry fortified, Multigrain whole grain cereal",405,6.3,0,0,750,28.13,250,6.25,80.89,6.7,4.58,12.5,0,1,0,1,1
"Chicken, stewed, cooked, meat only, dark meat, stewing",258,15,95,0,12,1.64,204,28.14,0,0,55.09,0,1,0,1,1,0
"Fast foods, regular patty; plain, cheeseburger; triple",310,19,637,0,174,2.23,230,18.2,16.16,0.5,43.93,3.29,0,0,1,1,1
"Beef, raw, choice, separable lean only, shortribs, rib",173,10,65,0,8,2.16,357,19.05,0,0,69.38,0,1,0,1,1,0
"Ground turkey, pan-broiled crumbles, 15% fat, 85% lean",258,17,85,8,49,1.98,276,25.11,0,0,56.66,0,1,0,0,1,0
"KELLOGG, Mixed Berry, KELLOG'S NUTRI-GRAIN CEREAL BARS",370,7.6,284,0,39,4.9,188,4.3,72.8,1.9,14.5,33.6,0,1,0,1,1
"Pork, raw, liver, variety meats and by-products, fresh",134,3.7,87,0,9,23.3,273,21.39,2.47,0,71.06,0,1,1,1,0,0
"Pork, raw, lungs, variety meats and by-products, fresh",85,2.7,153,0,7,18.9,303,14.08,0,0,79.52,0,1,1,0,0,0
"McDONALD'S, with syrup and margarine, Deluxe Breakfast",285,15,437,0,50,1.5,170,7.56,29.48,1,45.91,9.88,0,0,0,1,1
"Snacks, COMBOS Snacks Cheddar Cheese Pretzel, M&M MARS",463,17,1117,5,197,0.92,130,9.85,66.5,3.6,1.67,17.6,0,0,0,1,1
"Soup, prepared with equal volume water, canned, cheese",63,4.2,388,0,57,0.3,62,2.19,4.26,0.4,88.12,0,0,1,1,0,1
"Babyfood, junior, macaroni and tomato and beef, dinner",59,1.1,35,1,14,0.36,72,2.5,9.4,1.1,86.7,2.43,1,1,0,0,0
"Veal, roasted, cooked, separable lean and fat, sirloin",202,10,83,0,13,0.92,351,25.14,0,0,62.66,0,0,0,1,1,1
"Veal, braised, cooked, separable lean and fat, sirloin",252,13,79,0,17,1.2,321,31.26,0,0,54.49,0,0,0,0,1,1
"CAMPBELL'S CHUNKY Soups, Roadhouse - Beef & Bean Chili",95,3.3,359,0,16,0.73,0,6.12,10.2,2.4,78.7,2.86,1,1,1,0,0
"Game meat, roasted, cooked, separable lean only, bison",143,2.4,57,0,8,3.42,361,28.44,0,0,66.54,0,1,1,1,0,0
"Game meat, roasted, cooked, composite of cuts, beefalo",188,6.3,82,0,24,3.05,459,30.66,0,0,61.7,0,1,0,1,1,0
"Ice cream sandwich, vanilla, made with light ice cream",186,3,146,0,30,0.09,41,4.29,39.64,0,52.63,17.86,0,0,1,1,1
"KFC, Skin and Breading, ORIGINAL RECIPE, Fried Chicken",384,28,1042,0,117,0.88,244,14.17,18.79,0,35.52,0,1,0,1,1,0
"Fast foods, regular patty; plain, cheeseburger; single",308,15,515,2,119,2.71,196,16.51,28.03,2,38.63,4.88,0,0,1,1,1
"Chicken, simmered, cooked, giblets, broilers or fryers",157,4.5,67,0,14,7.04,224,27.15,0,0,67.72,0,1,0,1,1,0
"Cereals ready-to-eat, KELLOGG'S RICE KRISPIES, KELLOGG",381,2.1,527,247,5,30.42,125,6.75,85.05,0.4,5.06,9.87,0,1,1,1,1
"USDA Commodity Food, low saturated fat, vegetable, oil",884,100,0,0,0,0.02,0,0,0,0,0,0,0,0,0,1,1
"PEPPERIDGE FARM, Pizza, Baked Snack Crackers, Goldfish",469,19,815,0,93,4.87,326,9.67,65.11,3.5,3.51,0.86,1,0,1,1,0
"Cookies, regular, commercially prepared, peanut butter",473,24,463,0,41,2.11,202,8.92,58.15,2.1,7.28,28.58,0,1,0,1,1
"KASHI Mushroom & Asparagus Risotto, unprepared, frozen",116,3.7,206,0,67,0.8,116,4.3,17,2.6,74.6,1.3,0,1,1,0,1
"Frozen novelties, SLIM-A-BEAR Chocolate Cone, KLONDIKE",224,4.1,159,0,125,0.75,0,4.09,45.32,4.3,45.51,24.62,0,0,1,1,1
"Turkey, raw, with added solution, meat and skin, whole",158,9.1,180,15,14,0.67,211,19.03,0.15,0,71.26,0.08,1,0,1,1,0
"Cereals ready-to-eat, Honey Nut TOASTY O'S, MOM'S BEST",388,4.5,683,0,380,3.02,241,8.6,79.84,6.3,2.5,30.17,0,1,0,1,1
"Restaurant, prepared, entree, chicken and rice, Latino",174,5.1,518,0,18,0.95,184,12.02,20.03,1.2,61.12,0.55,1,0,1,1,0
"Beans, with salt, drained, boiled, cooked, green, snap",35,0.3,239,0,44,0.65,146,1.89,7.88,3.2,89.22,3.63,0,1,0,0,1
"Chicken, raw, meat only, dark meat, broilers or fryers",125,4.3,85,0,12,1.03,222,20.08,0,0,75.99,0,1,1,1,0,0
"Snacks, all flavors, reduced sugar, chewy, granola bar",412,13,312,0,417,2.03,199,5.55,69.4,3.1,11.65,20.8,0,0,0,1,1
"Cereals ready-to-eat, QUAKER OAT CINNAMON LIFE, QUAKER",374,4.1,463,0,387,23.22,260,9.14,79.02,6.3,4.3,25.18,0,1,0,1,1
"Beans, with salt, boiled, cooked, mature seeds, french",129,0.8,242,0,63,1.08,370,7.05,24.02,9.4,66.57,0,0,1,1,0,1
"Rice and vermicelli mix, unprepared, rice pilaf flavor",359,1.4,1303,0,83,2.44,188,10.42,76.31,1.2,8.04,1.53,0,0,1,1,1
"McDONALD'S, Premium Grilled Chicken Ranch BLT Sandwich",204,5.4,495,0,38,1.48,0,16.7,21.91,1.4,53.61,5.2,1,0,1,1,0
"Spaghetti, enriched (n x 6.25), dry, protein-fortified",374,2.2,8,0,39,4.15,201,21.78,65.65,2.4,9.23,0,0,0,0,1,1
"Salad dressing, assorted flavors, spray-style dressing",165,11,1102,0,6,0.18,0,0.16,16.6,0.3,71,14.29,0,0,1,1,1
"USDA Commodity, with broth, meat only, canned, Chicken",133,4.7,256,0,10,0.97,168,22.41,0.23,0,72.55,0.03,1,1,1,0,0
"USDA Commodity, with water, meat only, canned, Chicken",129,4.6,251,0,10,0.93,151,22.02,0,0,73.31,0,1,1,1,0,0
"Wheat flour, enriched, self-rising, all-purpose, white",354,1,1193,0,338,4.67,124,9.89,74.22,2.7,10.59,0.22,0,0,0,1,1
"Fish, drained solids, canned in oil, european, anchovy",210,9.7,3668,69,232,4.63,544,28.89,0,0,50.3,0,1,0,1,1,0
"Beverages, half the caffeine, regular, instant, coffee",352,0.5,37,0,141,4.41,3535,14.42,73.18,0,3.1,0,0,1,0,1,1
"Chicken, roasted, cooked, meat only, cornish game hens",134,3.9,63,5,13,0.77,250,23.3,0,0,71.9,0,1,1,1,0,0
"Snacks, salt added, white popcorn, oil-popped, popcorn",500,28,884,0,10,2.78,225,9,57.2,10,2.8,0,0,0,0,1,1
"Amaranth leaves, without salt, drained, boiled, cooked",21,0.2,21,0,209,2.26,641,2.11,4.11,0,91.49,0,0,1,0,0,1
"Corn, unprepared, kernels on cob, frozen, white, sweet",98,0.8,5,0,4,0.68,294,3.28,23.5,2.8,71.79,0,0,1,0,0,1
"Rice, cooked, unenriched, parboiled, long-grain, white",123,0.4,2,0,19,0.24,56,2.91,26.05,0.9,70.36,0.11,0,1,1,0,1
"Beans, with salt, boiled, cooked, mature seeds, yellow",144,1.1,241,0,62,2.48,325,9.16,25.28,10.4,62.98,0.34,0,1,1,0,1
"CAMPBELL'S Low Sodium Soups, Chicken with Noodles Soup",52,1.5,46,0,7,0.35,161,3.93,5.57,0.7,88.8,1.31,1,1,1,0,0
"Yogurt, 11 grams protein per 8 ounce, low fat, vanilla",85,1.3,66,1,171,0.07,219,4.93,13.8,0,79,13.8,0,1,0,0,1
"Yogurt, 13 grams protein per 8 ounce, skim milk, plain",56,0.2,77,0,199,0.09,255,5.73,7.68,0,85.23,7.68,0,1,0,0,1
"Yogurt, 8 grams protein per 8 ounce, whole milk, plain",61,3.3,46,2,121,0.05,155,3.47,4.66,0,87.9,4.66,0,1,0,0,1
"MORNINGSTAR FARMS Breakfast Pattie, unprepared, frozen",195,8.3,690,1,60,1.9,531,23.7,12.6,7.6,54.1,2.2,0,0,1,1,1
"Chicken, roasted, cooked, skin (drumsticks and thighs)",462,44,85,6,10,0.9,181,16.57,0,0,39.45,0,1,0,1,1,0
"Chicken, braised, cooked, skin (drumsticks and thighs)",443,43,75,4,9,1,161,14.61,0,0,42.09,0,1,0,1,1,0
"Cake, prepared from recipe without frosting, chocolate",371,15,315,0,60,1.61,140,5.3,53.4,1.6,24.4,0,0,0,0,1,1
"Pork, raw, heart, variety meats and by-products, fresh",118,4.4,56,0,5,4.68,294,17.27,1.33,0,76.21,0,1,1,1,0,0
"Pie, no-bake type, prepared from mix, chocolate mousse",260,15,460,0,77,1.08,285,3.5,29.6,0,49.7,0,0,0,0,1,1
"Infant formula, powder, soy, store brand, PBM PRODUCTS",508,27,151,303,453,9.1,528,13.6,52.2,0,2,52.2,0,0,0,1,1
"Candies, STARBURST Sour Fruit Chews, MARS SNACKFOOD US",400,7.8,89,0,0,0.01,0,0.39,79.73,0,10.89,56.1,0,1,0,1,1
"Beef, cooked, intermuscular fat, imported, New Zealand",560,57,25,15,16,1.18,125,7.9,3.39,0,31.16,0,1,0,0,1,0
"KEEBLER, Original Chocolate Chip Cookies, CHIPS DELUXE",517,28,350,0,0,3.6,171,5.5,62.7,2.9,2.8,30.1,0,0,0,1,1
"Cereals ready-to-eat, DORA THE EXPLORER, GENERAL MILLS",366,5.7,564,148,370,30,198,5.6,82.8,10.2,2.3,21.2,0,1,0,1,1
"Soybeans, without salt, drained, boiled, cooked, green",141,6.4,14,0,145,2.5,539,12.35,11.05,4.2,68.6,0,0,1,1,0,1
"CAMPBELL'S CHUNKY, HEALTHY REQUEST Chicken Noodle Soup",41,1,161,0,12,0.34,317,2.97,5.88,0.8,87.59,1.12,1,1,1,0,0
"Peaches, uncooked, sulfured, dehydrated (low-moisture)",325,1,10,0,38,5.51,1351,4.89,83.18,0,7.5,0,0,0,0,1,1
"Peas, solids and liquids, no salt added, canned, green",53,0.3,9,0,18,1.02,100,3.19,9.75,3.3,85.92,3.2,0,1,0,0,1
"CAMPBELL'S Red and White, condensed, French Onion Soup",36,1.2,516,0,16,0,444,1.59,4.76,0.8,91,3.17,0,1,1,0,1
"Seaweed, rehydrated, Canadian Cultivated EMI-TSUNOMATA",31,0.2,526,15,36,8.07,358,1.86,5.62,4.5,89.55,0,0,1,0,0,1
"Babyfood, strained, sweet potatoes and chicken, dinner",74,2.2,22,4,30,0.45,200,2.51,11.04,1.3,83.7,2.65,1,1,1,0,0
"Beverages, frozen concentrate, fruit punch juice drink",175,0.7,10,0,20,0.8,270,0.3,43.1,0.2,55.5,0,0,1,1,1,1
"KEEBLER, Fudge Mint, Grasshopper Cookies, FUDGE SHOPPE",499,24,266,1,0,1.7,306,4,68.3,2.4,2,39.7,0,0,0,1,1
"TACO BELL, cheese and lettuce, Original Taco with beef",229,13,397,0,89,1.19,209,8.86,19.85,3.9,57.02,0.9,1,0,1,1,0
"Carrots, without salt, drained, boiled, cooked, frozen",37,0.7,59,0,35,0.53,192,0.58,7.73,3.3,90.32,4.08,0,1,0,0,1
"Lamb, cooked, Intermuscular fat, imported, New Zealand",596,62,52,9,6,1.39,198,8.53,0,0,29.57,0,1,0,0,1,0
"Cereals ready-to-eat, Whole Grain TOTAL, GENERAL MILLS",320,2.1,470,333,3333,60,306,8.4,74.7,9.1,2.67,16.4,0,1,0,1,1
"LITTLE CAESARS 14"" Cheese Pizza, Large Deep Dish Crust",263,10,432,0,224,2.31,160,12.63,30.1,1.3,44.9,3.66,0,0,1,1,1
"Turkey, roasted, cooked, meat and skin, fryer-roasters",172,5.7,66,1,22,1.95,250,28.26,0,0,65.76,0,1,0,1,1,0
"Seeds, partially defatted (glandless), cottonseed meal",367,4.8,37,0,504,13.35,1869,49.1,38.43,0,1.2,0,0,0,0,1,1
"Margarine, with salt, tub, composite, 80% fat, regular",713,80,657,0,3,0,17,0.22,0.75,0,17.07,0,0,0,0,1,1
"DOMINO'S 14"" Pepperoni Pizza, Ultimate Deep Dish Crust",283,12,693,0,149,2.54,190,11.52,31.89,2.4,41.9,3.91,0,0,1,1,1
"Turkey, roasted, meat only, from whole bird, drumstick",139,2.1,99,10,9,0.71,249,30.13,0,0,67.88,0,1,1,1,0,0
"Wocas, yellow pond lily (Klamath), Oregon, dried seeds",361,1.1,25,0,27,1.47,553,7.9,80.02,19.2,9.36,0.43,0,0,0,1,1
"Mayonnaise, cholesterol-free, reduced-calorie or diet",333,33,733,0,0,0,67,0.9,6.7,0,56,4.2,0,0,0,1,1
"Chicken, fried, cooked, meat only, broilers or fryers",219,9.1,91,5,17,1.35,257,30.57,1.69,0.1,57.53,0,1,0,1,1,0
"Fish, cooked (not previously frozen), Alaska, pollock",80,0.3,0,0,0,0,0,19.42,0,0,79.34,0,1,1,0,0,0
"Veal, raw, separable lean only, shank (fore and hind)",108,2.8,85,0,20,0.76,316,19.28,0,0,77.45,0,0,1,1,0,1
"Apples, uncooked, sulfured, dehydrated (low moisture)",346,0.6,124,0,19,2,640,1.32,93.53,12.4,3,81.13,0,0,0,1,1
"Soup, single brand, condensed, canned, vegetable beef",53,0.8,555,0,0,0,0,3.8,7.7,0,86,0,1,1,1,0,0
"Restaurant, arepa (unleavened cornmeal bread), Latino",219,5.4,270,0,89,1.04,88,5.48,37.14,2.6,50.8,0.87,0,0,1,1,1
"Restaurant, pupusas del cerdo (pupusas, pork), Latino",232,10,426,28,49,1.01,255,11.51,23.02,2.6,53.12,1.45,1,0,1,1,0
"Beverages, contains caffeine, pepper-type, carbonated",41,0.1,10,0,3,0.04,1,0,10.4,0,89.4,0,0,1,0,0,1
"Alcoholic beverage, prepared-from-recipe, pina colada",174,1.9,6,0,8,0.21,71,0.42,22.66,0.3,64.99,22.33,0,0,1,1,1
"Beans, with salt, boiled, cooked, mature seeds, black",132,0.5,237,0,27,2.1,355,8.86,23.71,8.7,65.74,0.32,0,1,1,0,1
"Bread, toasted (includes sourdough), french or vienna",319,2.1,720,0,47,3.87,140,13,61.93,3.1,20.61,3.59,0,1,0,1,1
"Soup, prepared with equal volume milk, canned, cheese",92,5.8,406,0,115,0.32,136,3.77,6.47,0.4,82.44,0,0,1,1,0,1
"Babyfood, strained, vanilla, custard pudding, dessert",85,2,0,21,55,0.24,66,1.6,16,0,79.9,11.5,0,1,0,0,1
"Corn, regular pack, vacuum pack, canned, white, sweet",79,0.5,272,0,5,0.42,186,2.41,19.44,2,76.58,0,0,1,0,0,1
"Corn, regular pack, cream style, canned, white, sweet",74,0.4,261,0,4,0.31,119,1.74,18.62,1.2,78.24,6.09,0,1,0,0,1
"Fish, dry heat, cooked, Atlantic and Pacific, halibut",111,1.6,82,231,9,0.2,528,22.54,0,0,76.12,0,1,1,1,0,0
"Turkey, raw, from turkey frames, mechanically deboned",201,16,48,0,145,1.61,173,13.29,0,0,69.09,0,1,0,1,1,0
"Pork, raw, tail, variety meats and by-products, fresh",378,34,63,0,18,0.99,349,17.75,0,0,46.05,0,1,0,0,1,0
"Beans, with salt, boiled, cooked, mature seeds, white",139,0.4,242,0,90,3.7,561,9.73,25.09,6.3,63.08,0.34,0,1,1,0,1
"Cereals ready-to-eat, Honey Nut SCOOTERS, MALT-O-MEAL",387,4.5,695,133,333,30,241,8.59,79.62,6.3,2.5,29.97,0,1,0,1,1
"APPLEBEE'S, from kid's menu, Macaroni & Cheese, KRAFT",143,4.3,288,0,79,0.84,163,5.01,21.08,1.3,68.28,3.7,0,1,1,0,1
"Fast foods, with corn flour coating (corndog), hotdog",263,11,556,0,58,3.53,150,9.6,31.88,0,46.7,0,0,0,0,1,1
"Chicken, wing meat and skin, BBQ, rotisserie, broiler",257,18,579,0,33,0.93,285,23.42,0.6,0,57.23,0.6,1,0,1,1,0
"Cereals ready-to-eat, FROSTED CHEERIOS, GENERAL MILLS",376,4.7,553,148,370,16.7,254,9,79.8,7.5,2.2,32,0,1,0,1,1
"Pork, roasted, separable lean only, whole, ham, cured",157,5.5,1327,34,7,0.94,316,25.05,0,0,65.78,0,1,0,1,1,0
"Nuts, without salt added, dry roasted, macadamia nuts",718,76,4,0,70,2.65,363,7.79,13.38,8,1.61,4.14,0,1,0,1,1
"Frozen novelties, prepackaged, sundae, ice cream type",185,6,95,4,120,0.25,211,4.3,29.4,0.3,59.3,20.74,0,0,1,1,1
CAMPBELL'S Homestyle Light Italian-Style Wedding Soup,33,0.6,322,0,16,0.44,0,2.45,4.49,0.4,89.8,0.82,0,1,1,0,1
"PILLSBURY, refrigerated dough, Chocolate Chip Cookies",450,21,326,0,14,2.03,0,3.82,60.75,1.7,12.78,37.67,0,0,0,1,1
"Nuts, without salt added, dry roasted, pistachio nuts",572,46,6,0,107,4.03,1007,21.05,28.28,10.3,1.85,7.74,0,1,0,1,1
